col0,col1,col2,col3
MASS J02011013-0042589,32.032,-0.710670615593616,30.069041425678947
2MASS J03295552-003538,2311.4999999999995,-0.0646232558450388,51.956595649555936
MC79 2-18,4269.9,-74.62373191459197,170.0587299802333
[VMO95] Careon 1,4.012,22.29334277350814,169.88483631904214
AW Leo II 5,6.042,22.097201031999997,169.359960166
[YMO95] Carbon 7,17.964,22.110384612,169.59335920599997
2MASS J1132922+2210325,1.986,22.153529894400002,168.371775
IRAS 07527-3843,317.58,-38.998067688577905,117.45017595461195
C* 939,80.43299999999999,-38.74021195410138,119.33742051512827
WRAY18-155,31.84,-39.9885225233562,144.91483077778926
WRAY 18-13,316.948,-40.552939174090646,142.35720903992626
IRAS 0826-4832,20.06,-48.553839413268115,126.68332310179136
WRAY 18-67,316.948,-49.070212795890065,126.09894501856188
[M2003b] dc97,319.16,-47.69751849844744,126.3542722489059
HE 1410-025,23.0,-1.658173852722144,213.78000323267858
