col0,col1,col2,col3,col4
Milișăuți,Milișăuți,UTC+02:00,Milișăuți,2959
Frasin,Frasin,UTC+02:00,Frasin,2682
Liteni,Liteni,UTC+02:00,Liteni,4447
Dolhasca,Dolhasca,UTC+02:00,Dolhasca,3225
Ardud,Ardud,UTC+02:00,Ardud,4070
Cajvana,Cajvana,UTC+02:00,Cajvana,6759
Bușteni,Bușteni,UTC+02:00,Bușteni,6376
Salcea,Salcea,UTC+02:00,Salcea,2769
Isaccea,Isaccea,UTC+02:00,Isaccea,4501
Jimbolia,Jimbolia,UTC+02:00,Jimbolia,10808
Sinaia,Sinaia,UTC+02:00,Sinaia,10410
Zimnicea,Zimnicea,UTC+02:00,Zimnicea,14058
