col0,col1,col2,col3
John Paul,Johannes Paul,John Paul,Wikimedia human name disambiguation page
Ángel Martín,Miguel Ángel Martín,Ángel Martín García,Wikimedia human name disambiguation page
Guillem Ramon,Wilhelm Raimund,Guillem Ramon,Wikimedia human name disambiguation page
Langer,list of people with the family name Langer,Langer,Wikimedia human name disambiguation page
Strauss,Strauß,Strauss,Wikimedia human name disambiguation page
Giovanni Giorgio,John George,Giovanni Giorgio,Wikimedia human name disambiguation page
Henry VIII,Hendrik VIII,Henry VIII of England,Wikimedia human name disambiguation page
Xavier Torres,Xavi Torres,Xavier Torres,Wikimedia human name disambiguation page
Antonio Marín,Luis Antonio Marín,Antonio Marín,Wikimedia human name disambiguation page
Zieliński,Zelinski,Zieliński,Wikimedia human name disambiguation page
Gerhard,Girard,Gerhard,Wikimedia human name disambiguation page
Simeon,Symon,Simeon,Wikimedia human name disambiguation page
Uthman,Usman,Uthman,Wikimedia human name disambiguation page
Zieliński,Zelinski,Zelinsky,Wikimedia human name disambiguation page
