col0,col1,col2,col3
Pollng station no 2810 (Macedonia),Centar,Centar Municipality,North Macedonia
Polling staton no 2809 (Maceonia),Centar,Centar Municipality,North Macedonia
Polllng station no 2808 (Macedonia),Centar,Centar Municipality,North Macedonia
Pollinh station no 2807 (Macedonia),Centar,Centar Municipality,North Macedonia
Polling station no 2806 (Macedqnia),Centar,Centar Municipality,North Macedonia
Polling station no 2805 (Macedopia),Centar,Centar Municipality,North Macedonia
"Polling station no 2804""(Macedonia)",Centar,Centar Municipality,North Macedonia
Pollinh station no 2803 (Macedonia),Centar,Centar Municipality,North Macedonia
Polling station no 2802 (Macedpnia),Centar,Centar Municipality,North Macedonia
Polling station oo 2801 (Macedonia),Centar,Centar Municipality,North Macedonia
