col0,col1,col2,col3
Amphidamas,Amphidamas,Antimache,Eurynome
Amphictyon,Amphictyon,Itonus,Pyrrha
Laodamia,Deidameia,Sarpedon,Philonoe
Laodameia,Leanira,Triphylus,Diomede
Harmonia,Concordia,Autonoë,Aphrodite
Cycnus,Cycnus,Hemithea,Calyce
Evenus,Evenus,Marpessa,Demonice
Aegialeus,Aegialeus,Europs,Melia
Evenus,Evenus,Marpessa,Sterope
Hyllus,Hyllus,Cleodaeus,Deianira
Garamas,Amphithemis,Caphaurus,Acacallis
Cadmilus,Hermes,Axieros,Cabeiro
Argus,Argus,Magnes,Chalciope
Actor,Actor,Eurytion,Pisidice
Amphithemis,Garamas,Nasamon,Acacallis
