col0,col1,col2,col3
Burgplatz 12,Linz am Rhein,Burgplatz,cultural heritage monument in Rhineland-Palatinate
Rheinstraße 3,Linz am Rhein,Rheinstraße,cultural heritage monument in Rhineland-Palatinate
Hauptstraße 38,Rheinbreitbach,Burgstraße,cultural heritage monument in Rhineland-Palatinate
Burgstraße 2,Rheinbreitbach,Burgstraße,cultural heritage monument in Rhineland-Palatinate
Burgstraße 10,Rheinbreitbach,Burgstraße,cultural heritage monument in Rhineland-Palatinate
Burgstraße 5,Rheinbreitbach,Burgstraße,cultural heritage monument in Rhineland-Palatinate
Westerwaldstraße 2/4,Rheinbreitbach,Westerwaldstraße,cultural heritage monument in Rhineland-Palatinate
Westerwaldstraße 12,Rheinbreitbach,Westerwaldstraße,cultural heritage monument in Rhineland-Palatinate
Westerwaldstraße 8/10,Rheinbreitbach,Westerwaldstraße,cultural heritage monument in Rhineland-Palatinate
Westerwaldstraße 24,Rheinbreitbach,Westerwaldstraße,cultural heritage monument in Rhineland-Palatinate
Hauptstraße 73,Oberwinter,Hauptstraße,cultural heritage monument in Rhineland-Palatinate
Hauptstraße 102,Oberwinter,Hauptstraße,cultural heritage monument in Rhineland-Palatinate
Hauptstraße 89,Oberwinter,Hauptstraße,cultural heritage monument in Rhineland-Palatinate
Rheinstraße 1,Rheinbreitbach,Rheinstraße,cultural heritage monument in Rhineland-Palatinate
Hauptstraße 38,Rheinbreitbach,Hauptstraße,cultural heritage monument in Rhineland-Palatinate
