col0,col1,col2,col3
Wankumer Heide,"Heronger Buschberge, Wankumer Heide",Germany,Straelen
Schmaloer Heide,Silberseen und Schmaloer Heide,Germany,North Rhine-Westphalia
Große Dingdener Heide,Dingdener Heide,Germany,North Rhine-Westphalia
Rochauer Heide,Rochauer Heide,Germany,Heideblick
Hüttruper Heide,Hüttruper Heide,Germany,Greven
Westruper Heide,Westruper Heide,Germany,Haltern am See
Hanneputzheide,"Wahler Berg, Hannepützheide und Martinsee",Germany,Dormagen
Aaper Vennekes,Drevenacker Dünen,Germany,Wesel
Hörnum Odde,Hörnum-Odde / Sylt,Germany,Hörnum
Hildener Heide,Hildener Heide-Schönholz,Germany,Haan
Reicherskreuzer Heide,Reicherskreuzer Heide und Schwansee,Germany,Brandenburg
Liebenwerda Heath,Lower Lusatian Heath Nature Park,Germany,Brandenburg
