col0,col1,col2,col3
V* V400 Cas,-20.26,slow irregular variables of late spectral types,long period variable
V* V349 Cas,-23.9,semiregular variable star,long period variable
ROTSE1 J191616.27+475825.4,-54.1,long period variable,long period variable
ROTSE1 J191511.50+480511.6,-111.7,long period variable,long period variable
V* V1443 Oph,-102.59,slow irregular variable,long period variable
V* V1612 Oph,22.96,SRB semi-regular,long period variable
V* V1301 Oph,-37.12,slow irregular variable,long period variable
V* V1525 Oph,58.57,semiregular variable star,long period variable
V* V524 Cen,-74.44,slow irregular variable,long period variable
[NBN2015] 511,88.73,long period variable,long period variable
