col0,col1,col2,col3
San Francisco,The Voice of Scott McKenzie,John Phillips,San Francisco (Be Sure to Wear Flowers in Your Hair)
Hypnotize Me,Hush singles discography,Patrice Wilson,Hypnotize Me
Maailman toisella puolen,Haloo Helsinki! discography,Elli Haloo,Maailman toisella puolen (2012 Acoustic String Mix)
Hakuna Matata,Sotke mut,Sanni Kurkisuo,Hakuna matata
Dementia,Sanni discography,Sanni Kurkisuo,Dementia
Me ei olla enää me,Sanni discography,Sanni Kurkisuo,Me ei olla enää me
Jos mä oon oikee,Sanni discography,Sanni Kurkisuo,Jos mä oon oikee
Prinsessoja ja astronautteja,Sanni discography,Sanni Kurkisuo,Prinsessoja ja astronautteja
Jos elämä ois helppoo,Haloo Helsinki! discography,Jarmo Mykkänen,Jos elämä ois helppoo
Mun sydän sanoo niin,Enemmän kuin elää,Jarmo Mykkänen,Mun sydän sanoo niin
Valherakkaus,Enemmän kuin elää,Elli Haloo,Valherakkaus
