col0,col1,col2,col3
"Old Bridge Of Urr, Watermill",Dumfries and Galloway,Old Bridge of Urr,United Kingdom
"Mill Of Ribrae, Cottage",Aberdeenshire,Mill Of Ribrae,United Kingdom
Abbey Mill,North Yorkshire,Studley Royal Park including the Ruins of Fountains Abbey,United Kingdom
"Welkom, Lutten",Hardenberg,Lutten,Netherlands
"Boezemmolen, Tijnje",Opsterland,Tijnje,Netherlands
"De Jonge Willem, Roelofarendsveen",Kaag en Braassem,Roelofarendsveen,Netherlands
"Woldzigt, Roderwolde",Noordenveld,Roderwolde,Netherlands
"De Hoop, Keijenborg",Bronckhorst,Keijenborg,Netherlands
"Molen van Lukassen, Varsselder",Oude IJsselstreek,Terborg,Netherlands
"De Hoop, Heinkenszand",Borsele,Heinkenszand,Netherlands
Vogelmolen,Leudal,Haelen,Netherlands
