col0,col1,col2,col3,col4,col5,col6
"Oostkerkplein 12, Middelburg",Rijksmonument,Netherlands,Middelburg,Oostkerkplein,building with cornice,Middelburg
"Nieuwstraat 40, Middelburg",Rijksmonument,Netherlands,Middelburg,Nieuwstraat,building with cornice,Middelburg
"Nieuwstraat 45, Middelburg",Rijksmonument,Netherlands,Middelburg,Nieuwstraat,building with cornice,Middelburg
"Nieuwstraat 43, Middelburg",Rijksmonument,Netherlands,Middelburg,Nieuwstraat,building with cornice,Middelburg
"Nieuwstraat 41, Middelburg",Rijksmonument,Netherlands,Middelburg,Nieuwstraat,building with cornice,Middelburg
"Vlasmarkt 52, Middelburg",Rijksmonument,Netherlands,Middelburg,Vlasmarkt,house,Middelburg
"Vlasmarkt 49, Middelburg",Rijksmonument,Netherlands,Middelburg,Vlasmarkt,house,Middelburg
"Vlasmarkt 39, Middelburg",Rijksmonument,Netherlands,Middelburg,Vlasmarkt,house,Middelburg
"Varkensmarkt 7, Middelburg",Rijksmonument,Netherlands,Middelburg,Varkensmarkt,house,Middelburg
"Spanjaardstraat 38, Middelburg",Rijksmonument,Netherlands,Middelburg,Spanjaardstraat,house,Middelburg
"Spanjaardstraat 36, Middelburg",Rijksmonument,Netherlands,Middelburg,Spanjaardstraat,house,Middelburg
"Spanjaardstraat 20, Middelburg",Rijksmonument,Netherlands,Middelburg,Spanjaardstraat,house,Middelburg
"Singelstraat 23, Middelburg",Rijksmonument,Netherlands,Middelburg,Singelstraat,house,Middelburg
