col0,col1,col2,col3,col4,col5,col6
2030 Singapore Open Badminton Championships,2029 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2029 Singapore Open Badminton Championships,2028 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2028 Singapore Open Badminton Championships,2027 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2027 Singapore Open Badminton Championships,2026 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2026 Singapore Open Badminton Championships,2025 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2025 Singapore Open Badminton Championships,2024 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2024 Singapore Open Badminton Championships,2023 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2023 Singapore Open Badminton Championships,2022 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2022 Singapore Open Badminton Championships,2021 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2021 Singapore Open Badminton Championships,2020 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2020 Singapore Open Badminton Championships,2019 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
2019 Singapore Open Badminton Championships,2018 Singapore Open Badminton Championships,Singapore,WikiProject Badminton/tournament focus list,Singapore Open Badminton Championships,open championship,badminton
