col0,col1,col2,col3,col4,col5,col6
Khao Yai National Park,Central Thailand,Thailand,ASEAN Heritage Park,Pak Chong,1962-09-08,IUCN category II: National Park
Namtok Chet Sao Noi National Park,Kham Phran,Thailand,national park of Thailand,Pak Chong,2016-12-26,IUCN category II: National Park
Kaeng Krung National Park,Pak Mak,Thailand,national park of Thailand,Surat Thani,1991-12-04,IUCN category II: National Park
Kaeng Krachan National Park,Kaeng Krachan,Thailand,national park of Thailand,Hua Hin,1981-06-12,IUCN category II: National Park
Khao Sok,Ban Ta Khun,Thailand,national park of Thailand,Surat Thani,1980-12-22,IUCN category II: National Park
Khao Sam Roi Yot National Park,Prachuap Khiri Khan,Thailand,national park of Thailand,Pran Buri,1966-06-28,IUCN category II: National Park
Phu Kradueng National Park,Si Than,Thailand,national park of Thailand,Loei,1962-11-23,IUCN category II: National Park
Than Sadet – Ko Pha-ngan National Park,Ko Pha-ngan,Thailand,national park of Thailand,Surat Thani,1983-01-01,IUCN category II: National Park
Mu Ko Ang Thong National Park,Ang Thong,Thailand,national park of Thailand,Surat Thani,1980-01-01,IUCN category II: National Park
Mae Wong National Park,Pang Sila Thong,Thailand,national park of Thailand,Nakhon Sawan,1987-09-14,IUCN category II: National Park
Khao Yai National Park,Central Thailand,Thailand,nature reserve,Pak Chong,1962-09-08,IUCN category II: National Park
Khun Nan National Park,Bo Kluea Tai,Thailand,national park of Thailand,Nan,2009-07-15,IUCN category II: National Park
Kaeng Krachan National Park,Hua Hin,Thailand,national park of Thailand,Hua Hin,1981-06-12,IUCN category II: National Park
Doi Phu Kha National Park,Nan,Thailand,national park of Thailand,Nan,1999-06-17,IUCN category II: National Park
