col0,col1,col2,col3
Přívozská 22,cultural monument of the Czech Republic,tenement,Přívozská
Hybernská 42,cultural monument of the Czech Republic,hotel,Hybernská
Palackého 1,cultural monument of the Czech Republic,house,Palackého
Palác na Kopečku,cultural monument of the Czech Republic,tenement,Třída Míru
Americká 7,cultural monument of the Czech Republic,tenement,Americká
Chopinova 6,cultural monument of the Czech Republic,tenement,Chopinova
Botanická 4,cultural monument of the Czech Republic,tenement,Botanická
Kampelíkova 2,cultural monument of the Czech Republic,tenement,Kampelíkova
Heinrichova 32,cultural monument of the Czech Republic,tenement,Heinrichova
Jiříkovského 6,cultural monument of the Czech Republic,tenement,Jiříkovského
Heinrichova 9,cultural monument of the Czech Republic,tenement,Heinrichova
Na Kocandě,cultural monument of the Czech Republic,tenement,Kaprova
