col0,col1,col2,col3
Gmina Gorzów Śląski,Gorzów Śląski,154.12,Poland
Gmina Bychawa,Bychawa,146.19,Poland
Gmina Dobrzyń nad Wisłą,Dobrzyń nad Wisłą,115.44,Poland
Gmina Brzeg Dolny,Brzeg Dolny,94.4,Poland
Gmina Opoczno,Opoczno,191,Poland
Gmina Libiąż,Libiąż,57.2,Poland
Gmina Kamieńsk,Kamieńsk,95.81,Poland
Gmina Janów Lubelski,Janów Lubelski,178.24,Poland
Gmina Kolbuszowa,Kolbuszowa,170.59,Poland
Gmina Bystrzyca Kłodzka,Bystrzyca Kłodzka,337.82,Poland
Gmina Kozienice,Kozienice,245.56,Poland
Gmina Chodecz,Chodecz,122.23,Poland
Gmina Brześć Kujawski,Brześć Kujawski,150.44,Poland
Gmina Góra Kalwaria,Góra Kalwaria,145.11,Poland
Gmina Goniądz,Goniądz,376.68,Poland
