col0,col1,col2,col3
EPJ Data Science,Italian Physical Society,DOAJ seal,SpringerOpen
Journal of the European Optical Society. Rapid publications,European Optical Society,DOAJ seal,SpringerOpen
International Journal of the Commons,International Association for the Study of Common Property,DOAJ seal,Utrecht University Library Open Access Journals (Publishing Services)
Subterranean Biology,International Society for Subterranean Biology,DOAJ seal,Pensoft Publishers
Basic and clinical andrology,French Society of Andrology,DOAJ seal,BioMed Central
Clinical hypertension,Korean Society of Hypertension,DOAJ seal,BioMed Central
Zoological letters,Zoological Society of Japan,DOAJ seal,BioMed Central
EPJ Data Science,Italian Physical Society,DOAJ seal,Springer Science+Business Media
Journal of the European Optical Society. Rapid publications,European Optical Society,DOAJ seal,Springer Science+Business Media
South African Journal of Communication Disorders,South African Medical Association,DOAJ seal,AOSIS
Bijdragen en Mededelingen Betreffende de Geschiedenis der Nederlanden,Royal Netherlands Historical Society,DOAJ seal,Utrecht University Library Open Access Journals (Publishing Services)
