col0,col1,col2,col3
"Megadeath, Part 4","Megadeath, Part 4",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
"Megadeath, Part 3","Megadeath, Part 3",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
"Megadeath, Part 2","Megadeath, Part 2",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
"Megadeath, Part 1","Megadeath, Part 1",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
Big Trouble Under Chinatown,Big Trouble Under Chinatown,Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
The Chinatown Connection,The Chinatown Connection,Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
You're Fired!,You're Fired!,Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
"The Angel of Times Square, Part 5","The Angel of Times Square, Part 5",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
"The Angel of Times Square, Part 4","The Angel of Times Square, Part 4",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
"The Angel of Times Square, Part 2","The Angel of Times Square, Part 2",Teenage Mutant Ninja Turtles Adventures comic,Archie Comics
