col0,col1,col2,col3,col4
Karangmanggis,Indonesia,desa,UTC+07:00,Boja
Rejosari,Indonesia,desa,UTC+07:00,Brangsong
Purwogondo,Indonesia,desa,UTC+07:00,Boja
Kertomulyo,Indonesia,desa,UTC+07:00,Brangsong
Sidorejo,Indonesia,desa,UTC+07:00,Brangsong
Medono,Indonesia,desa,UTC+07:00,Boja
Kebonadem,Indonesia,desa,UTC+07:00,Brangsong
Leban,Indonesia,desa,UTC+07:00,Boja
Kliris,Indonesia,desa,UTC+07:00,Boja
Blorok,Indonesia,desa,UTC+07:00,Brangsong
Kaligading,Indonesia,desa,UTC+07:00,Boja
Brangsong,Indonesia,desa,UTC+07:00,Brangsong
Campurejo,Indonesia,desa,UTC+07:00,Boja
Boja,Indonesia,desa,UTC+07:00,Boja
Korowelanganyar,Indonesia,desa,UTC+07:00,Cepiring
