col0,col1,col2,col3
1979 Campeonato Gaúcho,association football competition,Brazil,1980 Campeonato Gaúcho
1989 Campeonato Brasileiro Série B,association football competition,Brazil,1990 Campeonato Brasileiro Série B
2004 South American U-19 Women's Championship,sports season,Brazil,2006 South American U-20 Women's Championship
1962 Torneio Rio-São Paulo,sports season,Brazil,1963 Torneio Rio-São Paulo
1964 Torneio Rio-São Paulo,sports season,Brazil,1965 Torneio Rio-São Paulo
1960 Torneio Rio-São Paulo,sports season,Brazil,1961 Torneio Rio-São Paulo
1961 Torneio Rio-São Paulo,sports season,Brazil,1962 Torneio Rio-São Paulo
1950 Torneio Rio-São Paulo,sports season,Brazil,1951  Torneio Rio-São Paulo
1940 Torneio Rio-São Paulo,sports season,Brazil,1950 Torneio Rio-São Paulo
2004 South American U-19 Women's Championship,association football competition,Brazil,2006 South American U-20 Women's Championship
1962 Torneio Rio-São Paulo,association football competition,Brazil,1963 Torneio Rio-São Paulo
1964 Torneio Rio-São Paulo,association football competition,Brazil,1965 Torneio Rio-São Paulo
1960 Torneio Rio-São Paulo,association football competition,Brazil,1961 Torneio Rio-São Paulo
