col0,col1,col2,col3
commitment complex,U2-type spliceosomal complex,U1 snRNP,cellular component
dendritic tree,neuron projection,dendrite,cellular component
90S preribosome,preribosome,t-UTP complex,cellular component
U6 snRNP,spliceosomal snRNP complex,Lsm2-8 complex,cellular component
SAGA complex,SAGA-type complex,DUBm complex,cellular component
U2-type catalytic step 1 spliceosome,U2-type spliceosomal complex,U6 snRNP,cellular component
U2-type prespliceosome,prespliceosome,U1 snRNP,cellular component
nuclear pre-replicative complex,pre-replicative complex,origin recognition complex,cellular component
TCR signalosome,macromolecular complex,T cell receptor complex,cellular component
VCP-NPL4-UFD1 AAA ATPase complex,membrane protein complex,UFD1-NPL4 complex,cellular component
U4/U6 snRNP,spliceosomal snRNP complex,U4 snRNP,cellular component
U4/U6 x U5 tri-snRNP complex,spliceosomal tri-snRNP complex,U4/U6 snRNP,cellular component
SMN-Sm protein complex,Sm-like protein family complex,SMN complex,cellular component
ribonucleoprotein granule,intracellular non-membrane-bounded organelle,protein,cellular component
post-spliceosomal complex,spliceosomal complex,U5 snRNP,cellular component
