col0,col1,col2,col3
I Married Who?,Kevin Connor,Larry Levinson Productions,United States of America
Death Row,Kevin VanHook,John W. Hyde,United States of America
The Anna Nicole Story,Mary Harron,Neil Meron,United States of America
The Trial of Lee Harvey Oswald,David Greene,Charles W. Fries,United States of America
The Legend of Sleepy Hollow,Henning Schellerup,Charles Sellier,United States of America
Sidetracked,Leif Magnusson,Lars Säfström,Norway
Hexenschuß,Franz Josef Gottlieb,Rüdiger Lange,West Germany
Jedes Jahr im Juni,Marcus Rosenmüller,Gloria Burkert,Germany
Le Premier oublié,Christophe Lamotte,Benjamin Hess,France
Dark Side of the Moon,William Karel,Luc Martin-Gousset,France
