col0,col1,col2,col3
Eleutherna,Greece,Nikolaos Stampolidis,archaeological site
Pompeii,Italy,Christoph Saliceti,tourist attraction
En Esur,Israel,Adam Zertal,ancient city
Eleutherna,Greece,Petros Themelis,ancient city
Pompeii,Italy,Domenico Spinelli,ancient city
Verulamium,United Kingdom,Sheppard Frere,ancient city
En Esur,Israel,Adam Zertal,archaeological site
Eleutherna,Greece,Petros Themelis,archaeological site
Pompeii,Italy,Domenico Spinelli,archaeological site
Verulamium,United Kingdom,Sheppard Frere,archaeological site
En Esur,Israel,Adam Zertal,tell
Pompeii,Italy,Domenico Spinelli,tourist attraction
Verulamium,United Kingdom,Sheppard Frere,ghost town
Satricum,Italy,Conrad M. Stibbe,ancient city
Pompeii,Italy,Giuseppe Fiorelli,ancient city
