col0,col1,col2,col3,col4,col5,col6
Faranah Prefecture,13000,Guéckédou Prefecture,Faranah Region,prefecture of Guinea,Kuranko,Guinea
Dabola Prefecture,5508,Mamou Prefecture,Faranah Region,prefecture of Guinea,Kakabe,Guinea
Macenta Prefecture,7056,Kérouané Prefecture,Nzérékoré Region,prefecture of Guinea,Zialo,Guinea
Koundara Prefecture,5505,Mali Prefecture,Boké Region,prefecture of Guinea,Badyara,Guinea
Labé Prefecture,3014,Mali Prefecture,Labé Region,prefecture of Guinea,Bassari,Guinea
Mali Prefecture,9790,Labé Prefecture,Labé Region,prefecture of Guinea,Bassari,Guinea
Kouroussa Prefecture,16220,Dabola Prefecture,Kankan Region,prefecture of Guinea,Kuranko,Guinea
Kissidougou Prefecture,8872,Faranah Prefecture,Faranah Region,prefecture of Guinea,Kuranko,Guinea
Faranah Prefecture,13000,Dabola Prefecture,Faranah Region,prefecture of Guinea,Kuranko,Guinea
Dabola Prefecture,5508,Faranah Prefecture,Faranah Region,prefecture of Guinea,Kakabe,Guinea
Macenta Prefecture,7056,Beyla Prefecture,Nzérékoré Region,prefecture of Guinea,Zialo,Guinea
Boké Prefecture,11053,Gaoual Prefecture,Boké Region,prefecture of Guinea,Pukur language,Guinea
