col0,col1,col2,col3
2018 Tour of Iran,2019 Tour of Iran,Dmitriy Sokolov,2.1
2014 Tour of Iran,2015 Tour of Iran (Azerbaijan),Ghader Mizbani,2.1
2000 Azerbaijan Tour,2001 Azerbaijan Tour,Ahad Kazemi,Tour of Iran
1999 Azerbaijan Tour,2000 Azerbaijan Tour,Ahad Kazemi,Tour of Iran
1998 Azerbaijan Tour,1999 Azerbaijan Tour,Ahad Kazemi,Tour of Iran
1997 Azerbaijan Tour,1998 Azerbaijan Tour,Andrey Mizurov,Tour of Iran
1996 Azerbaijan Tour,1997 Azerbaijan Tour,Ahad Kazemi,Tour of Iran
1995 Azerbaijan Tour,1996 Azerbaijan Tour,Hossein Askari,Tour of Iran
1994 Azerbaijan Tour,1995 Azerbaijan Tour,Dmitrij Katmakov,Tour of Iran
1993 Azerbaijan Tour,1994 Azerbaijan Tour,Kasta Kolov,Tour of Iran
1992 Azerbaijan Tour,1993 Azerbaijan Tour,Hussain Eslami,Tour of Iran
1991 Azerbaijan Tour,1992 Azerbaijan Tour,Tamer Avral,Tour of Iran
1990 Azerbaijan Tour,1991 Azerbaijan Tour,Abas Ismaili,Tour of Iran
1989 Azerbaijan Tour,1990 Azerbaijan Tour,Hussain Mahmoudi Shahvar,Tour of Iran
