col0,col1,col2,col3,col4
"Pedernales, Dominican Republic",Pedernales Province,municipality of the Dominican Republic,Dominican Republic,13805
San Juan de la Maguana,San Juan Province,municipality of the Dominican Republic,Dominican Republic,169032
Hato Mayor del Rey,Hato Mayor Province,municipality of the Dominican Republic,Dominican Republic,70141
Santa Cruz del Seibo,El Seibo Province,municipality of the Dominican Republic,Dominican Republic,97144
Nagua,María Trinidad Sánchez Province,municipality of the Dominican Republic,Dominican Republic,79420
Bonao,Monseñor Nouel Province,municipality of the Dominican Republic,Dominican Republic,158034
Monte Cristi,Monte Cristi Province,municipality of the Dominican Republic,Dominican Republic,25776
San José de Ocoa,San José de Ocoa Province,municipality of the Dominican Republic,Dominican Republic,57174
Neiba,Baoruco Province,municipality of the Dominican Republic,Dominican Republic,53605
Cotuí,Sánchez Ramírez Province,municipality of the Dominican Republic,Dominican Republic,79596
Sabaneta,Santiago Rodríguez Province,municipality of the Dominican Republic,Dominican Republic,98453
