col0,col1,col2,col3
IRAS 15539-5339,15.729,-53.8088191146125,239.4516747364063
IRAS 15060-4747,3.51,-47.9743751397933,227.3875754442712
IRAS 15496-5352,8.405,-54.015347,238.399964
IRAS 15588-5302,13.243,-53.1754749784761,240.6639138051366
IRAS 12063-6015,6.118,-60.533356,182.262083
IRAS 12013-6645,6.243,-67.031448,180.983821
IRAS 12050-6105,14.901,-61.378028,181.928208
IRAS 12061-6116,14.182,-61.5501777716867,182.1950578391771
IRAS 11579-7239,5.619,-72.9389630101334,180.1355659884178
IRAS 12132-6007,14.84,-60.3991925011722,183.9850286917565
