col0,col1,col2,col3
Makhado Local Municipality,Vhembe District Municipality,UTC+02:00,8257
Mogalakwena Local Municipality,Waterberg District Municipality,UTC+02:00,6166
Lephalale Local Municipality,Waterberg District Municipality,UTC+02:00,19601
Modimolle Local Municipality,Waterberg District Municipality,UTC+02:00,6227
Lesedi Local Municipality,Sedibeng District Municipality,UTC+02:00,1.486
Midvaal Local Municipality,Sedibeng District Municipality,UTC+02:00,1725
Tswaing Local Municipality,Ngaka Modiri Molema District Municipality,UTC+02:00,5966
Randfontein Local Municipality,West Rand District Municipality,UTC+02:00,477
Westonaria Local Municipality,West Rand District Municipality,UTC+02:00,637
Merafong City Local Municipality,West Rand District Municipality,UTC+02:00,1630
