col0,col1,col2,col3,col4
2MASS J19234190+4230075,3045.067,J2000.0,Lyra,0.351
2MASS J19230592+3833230,1356.1161,J2000.0,Lyra,4.061
2MASS J19272686+3845036,1069.862,J2000.0,Lyra,-12.378
2MASS J18530321+4027171,1350.8037,J2000.0,Lyra,-5.179
2MASS J18542458+4729255,2767.0172,J2000.0,Lyra,-9.297
2MASS J19064769+3809487,1392.5637,J2000.0,Lyra,-5.827
2MASS J19211267+4002573,2340.2762,J2000.0,Lyra,2.133
2MASS J19150914+4046115,2851.44,J2000.0,Lyra,-11.016
2MASS J19103872+4540098,1536.5704,J2000.0,Lyra,-5.446
2MASS J18551775+4112105,2445.5857,J2000.0,Lyra,-8.89
2MASS J19164808+4136262,1825.8171,J2000.0,Lyra,-1.731
2MASS J19160763+4259169,2499.3752,J2000.0,Lyra,-7.372
