col0,col1,col2,col3
"Gelobet seist du, Jesu Christ, BWV 91",Johann Sebastian Bach,"Gelobet seist du, Jesu Christ",Bach cantata
"Was Gott tut, das ist wohlgetan, BWV 100",Johann Sebastian Bach,"Was Gott tut, das ist wohlgetan",Bach cantata
"Christum wir sollen loben schon, BWV 121",Johann Sebastian Bach,Christum wir sollen loben schon,Bach cantata
"Meine Seel erhebt den Herren, BWV 10",Johann Sebastian Bach,Magnificat,Bach cantata
"Wer weiß, wie nahe mir mein Ende? BWV 27",Johann Sebastian Bach,"Wer weiß, wie nahe mir mein Ende",Bach cantata
"Erhalt uns, Herr, bei deinem Wort, BWV 126",Johann Sebastian Bach,Erhalt uns,Bach cantata
"Ach Gott, vom Himmel sieh darein, BWV 2",Johann Sebastian Bach,Psalm 12,Bach cantata
"Schmücke dich, o liebe Seele, BWV 180",Johann Sebastian Bach,"Schmücke dich, o liebe Seele",Bach cantata
"Nun komm, der Heiden Heiland, BWV 61",Johann Sebastian Bach,Saviour of the Nations,Bach cantata
"Nun komm, der Heiden Heiland, BWV 62",Johann Sebastian Bach,Saviour of the Nations,Bach cantata
