col0,col1,col2,col3
Diploma of Engineering,engineering,Germany,Diplom
Doktor Nauk in Juridical Science,jurisprudence,Soviet Union,Doctor of Sciences
Doktor Nauk in Warfare,military science,Soviet Union,Doctor of Sciences
Doktor Nauk in Pharmaceutics,pharmaceutics,Soviet Union,Doctor of Sciences
Doktor Nauk in Veterinary,veterinary medicine,Soviet Union,Doctor of Sciences
Doktor Nauk in Geology,mineralogy,Soviet Union,Doctor of Sciences
Doktor Nauk in History of art,history of art,Soviet Union,Doctor of Sciences
Doctor of Sciences in Philology,philology,Soviet Union,Doctor of Sciences
Doktor Nauk in Sociology,sociology,Soviet Union,Doctor of Sciences
Doktor Nauk in Architecture,architecture,Soviet Union,Doctor of Sciences
Doctor of Sciences in Medicine,medicine,Soviet Union,Doctor of Sciences
Doctor in Engineering,engineering,Soviet Union,Doctor of Sciences
