col0,col1,col2,col3,col4,col5
La Libertad,Trujillo,Cesar Acuña,Peru,25499.9,Cajamarca Quechua
Loreto,Iquitos,Fernando Meléndez,Peru,368773.16,Omagua
Ucayali,Pucallpa,Manuel Gambini Rupay,Peru,102199.28,Omagua
Loreto,Iquitos,Fernando Meléndez,Peru,368773.16,Cocama
Ucayali,Pucallpa,Manuel Gambini Rupay,Peru,102199.28,Cocama
Pasco,Cerro de Pasco,Teódulo Quispe,Peru,25025.84,Panao Quechua
Huanuco,Huánuco,"Rubén ""Chivito"" Alva",Peru,37265.77,Panao Quechua
Pasco,Cerro de Pasco,Teódulo Quispe,Peru,25025.84,Yanahuanca Pasco Quechua
Huanuco,Huánuco,"Rubén ""Chivito"" Alva",Peru,37265.77,Northern Conchucos Ancash Quechua
San Martín,Moyobamba,Víctor Manuel Noriega,Peru,51288.07,Huamalíes-Dos de Mayo Huánuco Quechua
Huanuco,Huánuco,"Rubén ""Chivito"" Alva",Peru,37265.77,Margos-Yarowilca-Lauricocha Quechua
Ucayali,Pucallpa,Manuel Gambini Rupay,Peru,102199.28,Sharanahua
Junín,Huancayo,Fernando Orihuela Rojas,Peru,44328.8,North Junín Quechua
Pasco,Cerro de Pasco,Teódulo Quispe,Peru,25025.84,North Junín Quechua
Junín,Huancayo,Fernando Orihuela Rojas,Peru,44328.8,Shawsha Wanka
