col0,col1,col2,col3
The 12th International Semantic Web Conference,linked data,2013-10-25,Fluid Operations
The 10th International Semantic Web Conference,Semantic Web,2011-10-27,Fluid Operations
The 12th International Semantic Web Conference,Semantic Web,2013-10-25,Fluid Operations
9th International Conference on Social Informatics,social informatics,2017-09-15,Information
11th International Conference on Chemical Structures,cheminformatics,2018-05-31,AbbVie
The 13th International Semantic Web Conference,Semantic Web,2014-10-23,Yahoo! Labs
11th International Conference on Chemical Structures,cheminformatics,2018-05-31,OpenEye Scientific Software
The 7th International Semantic Web Conference,linked data,2008-10-30,Ontotext
The 8th International Semantic Web Conference,linked data,2009-10-29,Ontotext
The 9th International Semantic Web Conference,linked data,2010-11-11,Ontotext
The 5th International Semantic Web Conference,Semantic Web,2006-11-09,Ontotext
The 7th International Semantic Web Conference,Semantic Web,2008-10-30,Ontotext
