col0,col1,col2,col3
53rd Academy Awards,Marty Pasetta,Johnny Carson,Dorothy Chandler Pavilion
52nd Academy Awards,Marty Pasetta,Johnny Carson,Dorothy Chandler Pavilion
56th Academy Awards,Marty Pasetta,Johnny Carson,Dorothy Chandler Pavilion
54th Academy Awards,Marty Pasetta,Johnny Carson,Dorothy Chandler Pavilion
55th Academy Awards,Marty Pasetta,Dudley Moore,Dorothy Chandler Pavilion
47th Academy Awards,Marty Pasetta,Sammy Davis Jr.,Dorothy Chandler Pavilion
44th Academy Awards,Marty Pasetta,Sammy Davis Jr.,Dorothy Chandler Pavilion
49th Academy Awards,Marty Pasetta,Richard Pryor,Dorothy Chandler Pavilion
55th Academy Awards,Marty Pasetta,Richard Pryor,Dorothy Chandler Pavilion
44th Academy Awards,Marty Pasetta,Helen Hayes,Dorothy Chandler Pavilion
