col0,col1,col2,col3,col4
Lorentz Diderik Klüwer,gift,Trondhjems 900 Aars Jubilæum,Lorentz Diderich Klüwer,31.5
Georg Frederik von Krogh,change of ownership,Trondhjems 900 Aars Jubilæum,sash,30
Johannes Klingenberg Sejersted,change of ownership,Trondhjems 900 Aars Jubilæum,sash,30
Georg Frederik von Krogh,gift,Trondhjems 900 Aars Jubilæum,sash,30
Johannes Klingenberg Sejersted,gift,Trondhjems 900 Aars Jubilæum,sash,30
Georg Frederik von Krogh,change of ownership,Trondhjems 900 Aars Jubilæum,epaulette,30
Johannes Klingenberg Sejersted,change of ownership,Trondhjems 900 Aars Jubilæum,epaulette,30
Lorentz Diderik Klüwer,change of ownership,Trondhjems 900 Aars Jubilæum,epaulette,31.5
Georg Frederik von Krogh,gift,Trondhjems 900 Aars Jubilæum,epaulette,30
Johannes Klingenberg Sejersted,gift,Trondhjems 900 Aars Jubilæum,epaulette,30
Lorentz Diderik Klüwer,gift,Trondhjems 900 Aars Jubilæum,epaulette,31.5
Georg Frederik von Krogh,change of ownership,Trondhjems 900 Aars Jubilæum,order,30
