col0,col1,col2,col3
Tai Hing,MTR Light Rail fare zone 2,2,People's Republic of China
Tai Hing,MTR Light Rail fare zone 2,3,People's Republic of China
Shek Pai stop,MTR Light Rail fare zone 2,2,People's Republic of China
Shan King,MTR Light Rail fare zone 2,1,People's Republic of China
Shan King,MTR Light Rail fare zone 2,1,People's Republic of China
San Hui stop,MTR Light Rail fare zone 2,2,People's Republic of China
Prime View stop,MTR Light Rail fare zone 2,2,People's Republic of China
Ming Kum stop,MTR Light Rail fare zone 2,2,People's Republic of China
Hoh Fuk Tong stop,MTR Light Rail fare zone 2,2,People's Republic of China
Kin On stop,MTR Light Rail fare zone 2,2,People's Republic of China
Choy Yee Bridge stop,MTR Light Rail fare zone 2,2,People's Republic of China
Affluence stop,MTR Light Rail fare zone 2,2,People's Republic of China
Ngan Wai stop,MTR Light Rail fare zone 2,2,People's Republic of China
Tsing Wun stop,MTR Light Rail fare zone 2,2,People's Republic of China
Tsing Shan Tsuen stop,MTR Light Rail fare zone 2,2,People's Republic of China
