col0,col1,col2,col3
Victor Hugo,avenue Victor-Hugo,station located underground,registered historic monument
Richard-Lenoir,boulevard Richard-Lenoir,metro station,registered historic monument
Philippe Auguste,boulevard de Charonne,metro station,registered historic monument
Sentier,rue Réaumur,metro station,registered historic monument
Monceau,boulevard de Courcelles,metro station,registered historic monument
Temple,boulevard Pasteur,metro station,registered historic monument
Porte d'Auteuil,boulevard de Montmorency,metro station,registered historic monument
Alexandre Dumas,boulevard de Charonne,metro station,registered historic monument
Louis Blanc,rue La Fayette,metro station,registered historic monument
Place d'Italie,place d'Italie,metro station,registered historic monument
