col0,col1,col2,col3
OGLE BLG-ECL-174649,0.2109,J2000.0,-29.70889908411778
OGLE BLG-ECL-175203,2.2182,J2000.0,-27.06062943494333
OGLE BLG-ECL-175116,2.4997,J2000.0,-34.60967813037139
OGLE BLG-ECL-175040,4.339,J2000.0,-22.57658999500417
OGLE BLG-ECL-175013,0.8622,J2000.0,-28.85969171946306
OGLE BLG-ECL-174911,0.932,J2000.0,-22.02214218991
OGLE BLG-ECL-174549,1.4451,J2000.0,-28.72452543200917
OGLE BLG-ECL-174902,0.3015,J2000.0,-23.65140829213695
OGLE BLG-ECL-174679,0.5004,J2000.0,-26.75488244641028
OGLE BLG-ECL-174975,0.1594,J2000.0,-22.152066115375
OGLE BLG-ECL-174624,0.6461,J2000.0,-27.00477663459972
OGLE BLG-ECL-175189,0.361,J2000.0,-31.03208254547472
OGLE BLG-ECL-174728,0.3851,J2000.0,-35.53796583246861
OGLE BLG-ECL-174987,0.7042,J2000.0,-29.19830582329111
OGLE BLG-ECL-175458,0.5554,J2000.0,-31.8896020910175
