col0,col1,col2,col3
Nineteenth Amendment of the Constitution of India,India,1966-12-11,1966-12-11
Forty-seventh Amendment of the Constitution of India,India,1984-08-26,1984-08-26
Forty-first Amendment of the Constitution of India,India,1976-09-07,1976-09-07
Forty-eighth Amendment of the Constitution of India,India,1984-08-26,1984-08-26
Eighteenth Amendment of the Constitution of India,India,1966-08-27,1966-08-27
Twelfth Amendment of the Constitution of India,India,1961-12-20,1962-03-27
Twenty-fourth Amendment of the Constitution of India,India,1971-11-05,1971-11-05
Sixty-first Amendment of the Constitution of India,India,1989-03-28,1989-03-28
Fifth Amendment of the Constitution of India,India,1955-12-24,1955-12-24
Third Amendment of the Constitution of India,India,1955-02-22,1955-02-22
Sixth Amendment of the Constitution of India,India,1956-09-11,1956-09-11
Fourteenth Amendment of the Constitution of India,India,1962-08-16,1962-12-28
Eleventh Amendment of the Constitution of India,India,1961-12-19,1961-12-19
Eighth Amendment of the Constitution of India,India,1960-01-05,1960-01-05
