col0,col1,col2,col3
Jefferson County,Mississippi,United States of America,Jefferson County
Lowndes County,Mississippi,United States of America,Lowndes County
Grenada County,Mississippi,United States of America,Grenada County
Kemper County,Mississippi,United States of America,Kemper County
Montgomery County,Mississippi,United States of America,Montgomery County
Itawamba County,Mississippi,United States of America,Itawamba County
Marion County,Mississippi,United States of America,Marion County
Jasper County,Mississippi,United States of America,Jasper County
Issaquena County,Mississippi,United States of America,Issaquena County
Leake County,Mississippi,United States of America,Leake County
Simpson County,Mississippi,United States of America,Simpson County
Panola County,Mississippi,United States of America,Panola County
Quitman County,Mississippi,United States of America,Quitman County
