col0,col1,col2,col3,col4,col5
Albian,Aptian,Cenomanian,Early Cretaceous,Aube,geological age
Frasnian,Givetian,Famennian,Upper Devonian,Frasnes-lez-Couvin,geological age
Norian,Carnian,Rhaetian,Late Triassic,Noric Alps,stage
Tithonian,Kimmeridgian,Berriasian,Late Jurassic,Tithonus,stage
Callovian,Bathonian,Oxfordian,Middle Jurassic,Kellaways,stage
Asselian,Gzhelian,Sakmarian,Cisuralian,Assel',stage
Hauterivian,Valanginian,Barremian,Early Cretaceous,Hauterive,stage
Artinskian,Sakmarian,Kungurian,Cisuralian,Arti,stage
Givetian,Eifelian,Frasnian,Middle Devonian,Givet,stage
Viséan,Tournaisian,Serpukhovian,Mississippian,Visé,stage
