col0,col1,col2,col3
Pla d'Urgell,president of Comarcal Council of Pla d'Urgell,Spain,917800000
Urgell,president of Comarcal Council of Urgell,Spain,805000000
Alt Penedès,president of Comarcal Council of Alt Penedès,Spain,2957200000
Ripollès,president of Comarcal Council of Ripollès,Spain,578700000
Garrotxa,president of Comarcal Council of Garrotxa,Spain,1434900000
Alta Ribagorça,president of Comarcal Council of Alta Ribagorça,Spain,79300000
Moianès,president of Comarcal Council of Moianès,Spain,265900000
Selva,president of Comarcal Council of La Selva,Spain,3895000000
Pla de l’Estany,president of Comarcal Council of Pla de l'Estany,Spain,812000000
Vallès Occidental,president of Comarcal Council of Vallès Occidental,Spain,24479900000
Anoia,president of Comarcal Council of Anoia,Spain,2366200000
Montsià,president of Comarcal Council of Montsià,Spain,1097000000
