col0,col1,col2,col3
1st Gibraltar House of Assembly,1972-01-01,2nd Gibraltar House of Assembly,1969-01-01
3rd Parliament of Finland,1910-02-28,4th Parliament of Finland,1909-06-01
15th German Bundestag,2005-10-18,16th German Bundestag,2002-10-17
14th German Bundestag,2002-10-17,15th German Bundestag,1998-10-26
13th German Bundestag,1998-10-26,14th German Bundestag,1994-11-10
12th German Bundestag,1994-11-10,13th German Bundestag,1990-12-20
11th German Bundestag,1990-12-20,12th German Bundestag,1987-02-18
10th German Bundestag,1987-02-18,11th German Bundestag,1983-03-29
9th German Bundestag,1983-03-29,10th German Bundestag,1980-11-04
8th German Bundestag,1980-11-04,9th German Bundestag,1976-12-14
7th German Bundestag,1976-12-14,8th German Bundestag,1972-12-13
6th German Bundestag,1972-12-13,7th German Bundestag,1969-10-20
