col0,col1,col2,col3
Finnish Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Persian Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Estonian Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Esperanto Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Modern Greek Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Danish Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Welsh Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Bosnian Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Breton Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Bulgarian Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Belarusian Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Azerbaijani Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Arabic Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
Old English Wikisource,Wikimedia Foundation,Wikimedia Foundation,Wikisource language edition
