col0,col1,col2,col3
Fountain spring in Proteagailovca,Bender,spring,1
Spring of Copceac,Gagauzia,spring,1.5
Spring of Sămășcani,Șoldănești District,spring,1.5
Spring near Zahorna,Șoldănești District,spring,1
Cărăușilor spring,Șoldănești District,spring,0.5
Spring of Stroiești,Rybnitsa District,spring,1
Spring of Izvoare,Orhei District,spring,0.5
Spring of Cucuruzeni,Orhei District,spring,0.5
Spring of Codreni,Ocnița District,spring,1
Spring near Naslavcea train station,Ocnița District,spring,0.5
Spring of Nemțeni,Hîncești District,spring,0.5
Havuzul Mare,Dubossary District,spring,1
