col0,col1,col2,col3
M/28,Finland,SAKO,firearm model
Glock 24,Austria,Glock Ges.m.b.H.,firearm model
Glock 21,Austria,Glock Ges.m.b.H.,firearm model
Glock 39,Austria,Glock Ges.m.b.H.,firearm model
Glock 26,Austria,Glock Ges.m.b.H.,firearm model
Glock 32,Austria,Glock Ges.m.b.H.,firearm model
Glock 33,Austria,Glock Ges.m.b.H.,firearm model
Glock 27,Austria,Glock Ges.m.b.H.,firearm model
Glock 31,Austria,Glock Ges.m.b.H.,firearm model
HK21,Germany,Heckler & Koch,firearm model
Glock 25,Austria,Glock Ges.m.b.H.,firearm model
