col0,col1,col2,col3,col4,col5,col6,col7
1984 Welsh Badminton Championships,1984 Welsh Badminton Championships – Men's singles,badminton,national championship,Cardiff,WikiProject Badminton/tournament focus list,1983 Welsh Badminton Championships,United Kingdom
1985 Welsh Badminton Championships,1985 Welsh Badminton Championships – Men's singles,badminton,national championship,Holyhead,WikiProject Badminton/tournament focus list,1984 Welsh Badminton Championships,United Kingdom
1986 Welsh Badminton Championships,1986 Welsh Badminton Championships – Men's singles,badminton,national championship,Cardiff,WikiProject Badminton/tournament focus list,1985 Welsh Badminton Championships,United Kingdom
1987 Welsh Badminton Championships,1987 Welsh Badminton Championships – Men's singles,badminton,national championship,Holyhead,WikiProject Badminton/tournament focus list,1986 Welsh Badminton Championships,United Kingdom
1988 Welsh Badminton Championships,1988 Welsh Badminton Championships – Men's singles,badminton,national championship,Pontypool,WikiProject Badminton/tournament focus list,1987 Welsh Badminton Championships,United Kingdom
1989 Welsh Badminton Championships,1989 Welsh Badminton Championships – Men's singles,badminton,national championship,Holyhead,WikiProject Badminton/tournament focus list,1988 Welsh Badminton Championships,United Kingdom
1990 Welsh Badminton Championships,1990 Welsh Badminton Championships – Men's singles,badminton,national championship,Cardiff,WikiProject Badminton/tournament focus list,1989 Welsh Badminton Championships,United Kingdom
1991 Welsh Badminton Championships,1991 Welsh Badminton Championships – Men's singles,badminton,national championship,Holyhead,WikiProject Badminton/tournament focus list,1990 Welsh Badminton Championships,United Kingdom
1992 Welsh Badminton Championships,1992 Welsh Badminton Championships – Men's singles,badminton,national championship,Cardiff,WikiProject Badminton/tournament focus list,1991 Welsh Badminton Championships,United Kingdom
1993 Welsh Badminton Championships,1993 Welsh Badminton Championships – Men's singles,badminton,national championship,Holyhead,WikiProject Badminton/tournament focus list,1992 Welsh Badminton Championships,United Kingdom
