col0,col1,col2,col3
Khachkar,Yeghvard Church,Armenia,khachkar
Khachkar,Yeghvard Church,Armenia,khachkar
Khachkar,Halidzor Fortress,Armenia,cultural property
Khachkar,Harichavank Monastery,Armenia,cultural property
Khachkar,Harichavank Monastery,Armenia,cultural property
Khachkar,Harichavank Monastery,Armenia,cultural property
Khachkar,Harichavank Monastery,Armenia,cultural property
Khachkar,Chapel Tukh Manuk in Beniamin,Armenia,cultural property
Khachkar,Lmbatavank,Armenia,cultural property
Khachkar,"Saint Gregory Cathedral, Artik",Armenia,cultural property
Khachkar,Halidzor Fortress,Armenia,khachkar
Khachkar,Harichavank Monastery,Armenia,khachkar
Khachkar,Harichavank Monastery,Armenia,khachkar
Khachkar,Harichavank Monastery,Armenia,khachkar
Khachkar,Harichavank Monastery,Armenia,khachkar
