col0,col1,col2,col3
Advanced modeling and simulation in engineering sciences,SpringerOpen,DOAJ seal,Creative Commons Attribution
Brain informatics,SpringerOpen,DOAJ seal,Creative Commons Attribution
Intensive care medicine experimental,SpringerOpen,DOAJ seal,Creative Commons Attribution
Maxillofacial plastic and reconstructive surgery,SpringerOpen,DOAJ seal,Creative Commons Attribution
PeerJ Computer Science,PeerJ Inc.,DOAJ seal,Creative Commons Attribution
Cogent biology,Cogent OA,DOAJ seal,Creative Commons Attribution
Cogent psychology,Cogent OA,DOAJ seal,Creative Commons Attribution
International journal of coal science & technology,Springer International Publishing,DOAJ seal,Creative Commons Attribution
Mitteilungen aus dem Museum fur Naturkunde in Berlin. Zoologische Reihe,Pensoft Publishers,DOAJ seal,Creative Commons Attribution
Open health data,Ubiquity Press,DOAJ seal,Creative Commons Attribution
Polymers,MDPI,DOAJ seal,Creative Commons Attribution
Diagnostics,MDPI,DOAJ seal,Creative Commons Attribution
