col0,col1,col2,col3,col4
All is Revealed,English,Splinter,Mirage Studios,All is Revealed
Rescuing Master Splinter,English,Splinter,Mirage Studios,Rescuing Master Splinter
The Great Chase,English,Splinter,Mirage Studios,The Great Chase
Teenage Mutant Ninja Turtles Versus the Mousers,English,Splinter,Mirage Studios,Teenage Mutant Ninja Turtles Versus the Mousers
The Turtles' Origin is Told,English,Splinter,Mirage Studios,The Turtles' Origin is Told
True Stories,English,Raphael,Mirage Studios,True Stories
Silent Partner,English,Raphael,Mirage Studios,Silent Partner
What Goes Around Comes Around,English,Raphael,Mirage Studios,What Goes Around Comes Around
The Passing,English,Raphael,Mirage Studios,The Passing
Teenage Mutant Ninja Turtles Team Up with Cerebus,English,Raphael,Mirage Studios,Teenage Mutant Ninja Turtles Team Up with Cerebus
All is Revealed,English,Raphael,Mirage Studios,All is Revealed
