col0,col1,col2,col3
zinc-58,0,-42298.744,nickel-57
zinc-56,0,-25390,nickel-55
zinc-55,2.5,-14570,nickel-53
zinc-54,0,-6272,nickel-52
zinc-82,0,-42313.954,gallium-82
zinc-81,2.5,-46199.663,gallium-80
zinc-80,0,-51648.612,gallium-79
zinc-79,4.5,-53432.295,gallium-78
zinc-78,0,-57483.235,gallium-78
zinc-77,3.5,-58789.195,gallium-77
zinc-76,0,-62303.016,gallium-76
zinc-75,3.5,-62558.908,gallium-75
zinc-74,0,-65756.712,gallium-74
zinc-72,0,-68145.486,gallium-72
zinc-59,1.5,-47215.551,copper-59
