col0,col1,col2,col3
Route nationale 71,route nationale,Billy-lès-Chanceaux,France
Route nationale 432,route nationale,France–Switzerland border,France
Route nationale 749,route nationale,Château-la-Vallière,France
Route nationale 187,route nationale,Clamart,France
Route nationale 132,route nationale,Cambo-les-Bains,France
Route nationale 326,route nationale,Rethel,France
Route nationale 713,route nationale,Argenton-sur-Creuse,France
Route nationale 379,route nationale,Belgium–France border,France
Route nationale 579,route nationale,Le Grau-du-Roi,France
Route nationale 811,route nationale,Granville,France
Route nationale 13bis,route nationale,Bonnières-sur-Seine,France
Route nationale 514,route nationale,Voglans,France
Route nationale 137,route nationale,Saint-André-de-Cubzac,France
Route nationale 487,route nationale,Pouilly-sous-Charlieu,France
