col0,col1,col2,col3
Casa Rosa,Bien de Interés Cultural,Gessa,Spain
Cal Castell,Bien de Interés Cultural,El Poal,Spain
Castellblanc,Bien de Interés Cultural,Oliola,Spain
La Casa Murada,Bien de Interés Cultural,Banyeres del Penedès,Spain
Vallfort,Bien de Interés Cultural,Sant Jaume dels Domenys,Spain
Casa Vella de Segur,Bien de Interés Cultural,Calafell,Spain
Corralot d'en Virgili,Bien de Interés Cultural,El Vendrell,Spain
Torre Martí,Bien de Interés Cultural,"Batea, Tarragona",Spain
El Castellot,Bien de Interés Cultural,Sant Mateu de Bages,Spain
La Sala,Cultural Asset of National Interest,Viladrau,Spain
Espinzella,Cultural Asset of National Interest,Viladrau,Spain
La Sala,Bien de Interés Cultural,Viladrau,Spain
Espinzella,Bien de Interés Cultural,Viladrau,Spain
la Sala,Bien de Interés Cultural,El Brull,Spain
