col0,col1,col2,col3
2010 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Kristiansand
1969 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1967 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1966 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1965 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1963 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1962 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1961 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1960 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1958 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1957 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1956 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1955 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1954 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
1953 Norwegian Badminton Championships,national championship,WikiProject Badminton/tournament focus list,Oslo
