col0,col1,col2,col3,col4
Northeast,mesoregion of Brazil,56335.147,Brazil,Bahia
Metropolitan Mesoregion of Salvador,mesoregion of Brazil,11241.06,Brazil,Bahia
Central South,mesoregion of Brazil,128472.722,Brazil,Bahia
Northeast Rio Grande do Sul,mesoregion of Brazil,25749.128,Brazil,Rio Grande do Sul
West-Central Rio Grande do Sul,mesoregion of Brazil,25954.689,Brazil,Rio Grande do Sul
Central Potiguar Mesoregion,mesoregion of Brazil,15810.436,Brazil,Rio Grande do Norte
Agreste Potiguar Mesoregion,mesoregion of Brazil,9367.384,Brazil,Rio Grande do Norte
South-Coastal São Paulo,mesoregion of Brazil,13200.893,Brazil,São Paulo
Southeast Rio Grande do Sul,mesoregion of Brazil,42539.655,Brazil,Rio Grande do Sul
East-Central Rio Grande do Sul,mesoregion of Brazil,17192.037,Brazil,Rio Grande do Sul
São Paulo macro-metropolitan area,mesoregion of Brazil,12309.596,Brazil,São Paulo
