col0,col1,col2,col3,col4
[SRA98] 6-2343,319.9176664935629,-6.008,-119.98,1697.2166
[SRA98] 5-1587,322.5810156408085,2.596,-115.22,1858.3906
TYC 7969-1228-1,315.6910351301243,-28.107,106.77,1094.0919
LSPM J1207+0932,181.9927724805516,-130.065,214,372.1761
LSPM J1027+0900,156.9906184002439,-169.546,293,416.5972
LAMOST J082932.48+282613.3,127.3855602140079,-384.345,279,161.3398
CD-57 1633,106.6206324070955,-93.088,260.49,93.0761
CPD-56 1241,106.292982213728,-8.391,147.33,1523.6934
TYC 4712-420-1,52.3144532085846,-2.795,169.17,1611.0843
2MASS J03292608-0257194,52.3586989013435,-50.23,-118.61,1354.0961
TYC 4716-228-1,52.6642480866493,12.095,94.27,494.462
2MASS J03273977-0306283,51.9157386704536,16.812,93.8,480.3766
TYC 4712-862-1,52.1045476473228,-4.05,115.93,1340.4826
