col0,col1,col2,col3
DIÁLOGOS. Arte Latinoamericano desde la Colección Cisneros,Spanish,Caracas,2005-01-01
Arte contemporáneo venezolano en la Colección Cisneros,Spanish,Caracas,2005-01-01
DIÁLOGOS. Arte Latinoamericano desde la Colección Cisneros,Spanish,Caracas,2004-01-01
Arte contemporáneo venezolano en la Colección Cisneros,Spanish,Caracas,2004-01-01
"Private Devotion. Religious Painting of Small Format in Venezuela During the Spanish Period, 18th and 19th Centuries",Spanish,Caracas,2004-01-01
DIÁLOGOS. Arte Latinoamericano desde la Colección Cisneros,Spanish,Caracas,2005-01-01
GEO-METRÍAS,Spanish,Caracas,2003-01-01
Gego: Complete Works,Spanish,Caracas,2003-01-01
GEO-METRÍAS,Spanish,Caracas,2003-01-01
American Utopias. Constructive Horizons: The Latin American Perspective,Spanish,Caracas,2002-01-01
Paralelos. Brazilian Art from the Second Half of the Twentieth Century in Context,Spanish,Caracas,2002-01-01
Orinoco: At the Encounter of the Indigenous People of the Venezuelan Amazon,Spanish,Caracas,2001-01-01
Ceci n’est pas un satellite = Esto no es un satelite. Obras contemporáneas de la Colección en DirecTV Venezuela,Spanish,Caracas,2000-01-01
