col0,col1,col2,col3
Orissaare Rural Municipality,rural municipality of Estonia,Saaremaa Rural Municipality,Orissaare
Vastemõisa Rural Municipality,rural municipality of Estonia,Suure-Jaani Rural Municipality,Vastemõisa
Värska Rural Municipality,rural municipality of Estonia,Setomaa Rural Municipality,Värska
Viiratsi Rural Municipality,rural municipality of Estonia,Viljandi Rural Municipality,Viiratsi
Salme Rural Municipality,rural municipality of Estonia,Saaremaa Rural Municipality,Salme
Valjala Rural Municipality,rural municipality of Estonia,Saaremaa Rural Municipality,Valjala
Vasalemma Rural Municipality,rural municipality of Estonia,Lääne-Harju Rural Municipality,Vasalemma
Lohusuu Rural Municipality,rural municipality of Estonia,Mustvee Rural Municipality,Lohusuu
Helme Parish,rural municipality of Estonia,Tõrva Rural Municipality,Tõrva
Kaarma Rural Municipality,rural municipality of Estonia,Lääne-Saare Rural Municipality,Kuressaare
Ambla Rural Municipality,rural municipality of Estonia,Järva Rural Municipality,Ambla
Kõpu Rural Municipality,rural municipality of Estonia,Põhja-Sakala Rural Municipality,Kõpu
Vigala Rural Municipality,rural municipality of Estonia,Märjamaa Rural Municipality,Kivi-Vigala
