col0,col1,col2,col3,col4,col5
Sierra de Segura,Murcia Province,Spain,2107,Europe,Prebaetic System
Serra Grossa,Costera,Spain,904,Europe,Prebaetic System
Sierra de Segura,Albacete Province,Spain,2107,Europe,Prebaetic System
Sierra de Los Filabres,Almería Province,Spain,2168,Europe,Cordillera Penibética
Sierra Bermeja,Málaga Province,Spain,1449,Europe,Baetic System
Sierra de Alhama,Málaga Province,Spain,1500,Europe,Baetic System
Sierra de Mijas,Málaga Province,Spain,1150,Europe,Baetic System
Sierra Harana,Granada Province,Spain,2027,Europe,Baetic System
Sierra Carbonera,Cádiz Province,Spain,311,Europe,Baetic System
Sierra Alhamilla,Almería Province,Spain,1387,Europe,Baetic System
Sierra del Carche,Region of Murcia,Spain,1372,Europe,Baetic System
Sierra Madrona,Ciudad Real Province,Spain,1332,Europe,Sierra Morena
