col0,col1,col2,col3
Achmet 3 (Pauly-Wissowa),Achoreus (Pauly-Wissowa),public domain,Pauly-Wissowa vol. S I
Achlada (Pauly-Wissowa),Achmet 2 (Pauly-Wissowa),public domain,Pauly-Wissowa vol. S I
Achillikos (Pauly-Wissowa),Achlada (Pauly-Wissowa),public domain,Pauly-Wissowa vol. S I
Acheon (Pauly-Wissowa),Achilleion 2 (Pauly-Wissowa),public domain,Pauly-Wissowa vol. S I
Achelites (Pauly-Wissowa),Acheon (Pauly-Wissowa),public domain,Pauly-Wissowa vol. S I
Achamas (Pauly-Wissowa),Acharaka (Pauly-Wissowa),public domain,Pauly-Wissowa vol. S I
Aristoxenos 10 (Pauly-Wissowa),Aristratos 1 (Pauly-Wissowa),public domain,"Pauly-Wissowa vol. II,1"
Achradina (Pauly-Wissowa),Achradus (Pauly-Wissowa),public domain,"Pauly-Wissowa vol. I,1"
Achoristos (Pauly-Wissowa),Achradina (Pauly-Wissowa),public domain,"Pauly-Wissowa vol. I,1"
"Achomai, Achomenoi (Pauly-Wissowa)",Achoristos (Pauly-Wissowa),public domain,"Pauly-Wissowa vol. I,1"
