col0,col1,col2,col3
Nevera de Sant Blai,Spain,ice house,Property of Local Relevance
Nevera del Portell,Spain,ice house,Property of Local Relevance
Nevera dels Teularets,Spain,ice house,Property of Local Relevance
Cava de Don Miguel,Spain,ice house,Property of Local Relevance
Nevera at Ermita de Sant Esteve,Spain,ice house,Property of Local Relevance
Cava d'Asnar 1,Spain,ice house,Property of Local Relevance
Cava del Buitre,Spain,ice house,Property of Local Relevance
Cava de l'Habitació,Spain,ice house,Property of Local Relevance
Pozo del Francés,Spain,ice house,Property of Local Relevance
Icehouse in Finca Lacy,Spain,ice house,Property of Local Relevance
Pou del Canyó,Spain,ice house,Property of Local Relevance
