col0,col1,col2,col3
Krumbach,Germany,13135,Stadtarchiv Krumbach
Günzburg,Germany,20355,Stadtarchiv Günzburg
Schongau,Germany,12396,Stadtarchiv Schongau
Lauenburg/Elbe,Germany,11444,Stadtarchiv Lauenburg
Hechingen,Germany,19157,Stadtarchiv Hechingen
Salzwedel,Germany,24002,Stadtarchiv Salzwedel
Osterburg,Germany,9782,Stadtarchiv Osterburg
Plattling,Germany,12955,Stadtarchiv Plattling
Obernburg am Main,Germany,8671,Stadtarchiv Obernburg
Karlstadt am Main,Germany,15043,Stadtarchiv Karlstadt
Hersbruck,Germany,12481,Stadtarchiv Hersbruck
Wertingen,Germany,9223,Stadtarchiv Wertingen
Friedberg,Germany,29782,Stadtarchiv Friedberg
Duderstadt,Germany,20466,Stadtarchiv Duderstadt
Neckarsulm,Germany,26428,Stadtarchiv Neckarsulm
