col0,col1,col2,col3,col4
XVII. Le baiser de Judas,James Ensor,public domain,XVII. Le baiser de Judas,Royal Library of Belgium
XVI. La Cène,James Ensor,public domain,XVI. La Cène,Royal Library of Belgium
XV. L'entrée à Jérusalem,James Ensor,public domain,XV. L'entrée à Jérusalem,Royal Library of Belgium
XIX. Le Christ aux critiques,James Ensor,public domain,XIX. Le Christ aux critiques,Royal Library of Belgium
XIV. Le Christ marchant sur la mer,James Ensor,public domain,XIV. Le Christ marchant sur la mer,Royal Library of Belgium
XIII. La Pêche miraculeuse,James Ensor,public domain,XIII. La Pêche miraculeuse,Royal Library of Belgium
XII. Le Christ apaisant la tempête,James Ensor,public domain,XII. Le Christ apaisant la tempête,Royal Library of Belgium
XI. Le Christ chassant le Démon du corps d'un possédé,James Ensor,public domain,XI. Le Christ chassant le Démon du corps d'un possédé,Royal Library of Belgium
X. Laissez venir à moi les petits enfants,James Ensor,public domain,X. Laissez venir à moi les petits enfants,Royal Library of Belgium
VIII. Le Christ et les docteurs,James Ensor,public domain,VIII. Le Christ et les docteurs,Royal Library of Belgium
