col0,col1,col2,col3
auriculo condylar syndrome,rare disease,GNAI3,external ear disease
IVIC Syndrome,rare disease,SALL4,syndrome with limb reduction defects
cortisone reductase deficiency 1,rare disease,H6PD,genetic disease
Kosaki overgrowth syndrome,disease,PDGFRB,overgrowth syndrome
brachydactyly type C,disease,GDF5,brachydactyly
Hereditary sensory and autonomic neuropathy type 6,disease,DST,hereditary sensory and autonomic neuropathy
autosomal dominant sensory ataxia,disease,RNF170,ataxia
auriculo condylar syndrome,disease,GNAI3,external ear disease
IVIC Syndrome,disease,SALL4,syndrome with limb reduction defects
cortisone reductase deficiency 1,disease,H6PD,genetic disease
du Pan syndrome,developmental defect during embryogenesis,GDF5,bone disease
multiple epiphyseal dysplasia,developmental defect during embryogenesis,COL9A1,osteochondrodysplasia
