col0,col1,col2,col3
1968 Dwars door Vlaanderen,Belgium,1967 Dwars door Vlaanderen,road bicycle racing
Dwars door Vlaanderen 2019,Belgium,2018 Dwars door Vlaanderen,road bicycle racing
1965 Dwars door Vlaanderen,Belgium,1964 Dwars door Vlaanderen,road bicycle racing
1967 Dwars door Vlaanderen,Belgium,1966 Dwars door Vlaanderen,road bicycle racing
2018 Dwars door Vlaanderen,Belgium,2017 Dwars door Vlaanderen,road bicycle racing
1963 Dwars door Vlaanderen,Belgium,1962 Dwars door Vlaanderen,road bicycle racing
1962 Dwars door Vlaanderen,Belgium,1961 Dwars door Vlaanderen,road bicycle racing
2017 Dwars door Vlaanderen,Belgium,2016 Dwars door Vlaanderen,road bicycle racing
1995 Dwars door Vlaanderen,Belgium,1994 Dwars door Vlaanderen,road bicycle racing
1994 Dwars door Vlaanderen,Belgium,1993 Dwars door Vlaanderen,road bicycle racing
1961 Dwars door Vlaanderen,Belgium,1960 Dwars door Vlaanderen,road bicycle racing
